Ensembl_ID	future-1	future-2	future-3	future-4	future-5	future-6	future-7	future-8	future-9	future-10	future-11	future-12	future-13	future-14	future-15	future-16	future-17	future-18	future-19	future-20	future-21	future-22	future-23	future-24	future-25	future-26	future-27	future-28	future-29	future-30
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0
ENSG00000186891	3	0	2	4	0	0	2	3	2	5	16	5	7	2	7	2	1	6	1	15	25	6	3	7	10	31	10	17	6	1
ENSG00000160072	120	102	85	117	104	79	91	105	217	334	184	280	311	185	177	93	66	237	56	146	293	229	445	169	340	712	280	85	115	95
ENSG00000041988	126	64	127	103	85	97	135	125	104	160	146	196	128	147	196	117	91	190	61	82	272	185	156	121	200	367	183	72	70	105
ENSG00000260179	0	3	2	4	2	2	1	0	3	1	0	1	0	3	1	2	0	0	2	2	2	1	5	0	4	1	4	2	0	1
ENSG00000234396	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	16	10	4	26	13	14	4	12	5	10	2	1	9	18	11	12	4	24	2	4	12	6	22	13	17	5	10	3	8	7
ENSG00000224315	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ENSG00000198744	25	24	27	69	55	39	22	33	31	36	24	14	28	40	16	25	13	54	14	26	22	44	142	48	46	57	15	22	22	26
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	1	2	0	1	0	0	1	2	1	0	1	0	0	1	1	2	2	0	0	2	1	1	0	1	0	1	0	0	0	0
ENSG00000142611	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225630	2406	1668	2778	3770	3597	2280	1405	2267	1279	1493	1499	503	1493	3049	2838	4753	1672	2553	1603	864	1649	1657	4189	1803	1870	1911	917	1777	3205	2959
ENSG00000067606	385	369	423	647	487	542	442	468	349	555	295	383	425	535	514	513	391	621	154	300	329	365	338	231	463	451	203	204	151	122
ENSG00000131584	199	84	291	193	205	117	229	180	134	239	211	204	241	261	250	172	130	180	67	109	167	163	217	148	254	486	187	115	108	112
ENSG00000227589	20	24	20	30	26	19	11	17	18	21	5	10	9	31	19	16	10	13	5	8	8	4	4	2	16	16	5	4	2	0
ENSG00000237402	0	0	0	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	68	20	67	47	35	32	97	43	41	75	97	90	70	74	65	35	28	65	22	32	76	60	82	72	75	147	94	33	45	24
ENSG00000157911	154	111	201	156	125	133	206	143	101	141	131	103	124	143	180	124	98	206	74	120	91	130	129	60	142	187	102	69	38	54
ENSG00000269896	12	11	11	16	13	16	14	7	19	26	11	11	17	24	22	14	1	14	1	5	13	15	6	10	14	14	10	13	4	17
ENSG00000237973	536	458	574	725	663	543	303	454	299	448	289	174	309	617	579	806	288	571	319	190	344	353	1088	456	507	423	211	342	605	639
ENSG00000224051	191	118	229	174	172	166	268	175	126	188	118	171	176	261	196	127	122	281	48	80	96	114	148	56	160	291	111	39	35	16
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	1	2	17	3	5	2	1	5	0	3	8	7	3	6	2	2	1	0	1	1	0	0	3	0	0	0	1	0	4	3
ENSG00000238260	9	1	3	3	4	1	7	2	4	8	1	0	7	5	8	14	1	4	4	2	2	6	2	5	2	7	3	5	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	659	687	775	881	668	725	674	806	623	838	379	486	824	1142	808	815	403	1232	234	556	490	751	970	446	964	952	552	279	256	240
ENSG00000162591	27	3	27	27	8	18	20	3	17	38	27	31	19	29	34	25	30	31	7	25	29	33	35	11	31	25	12	25	27	22
ENSG00000224340	0	0	0	1	4	0	0	0	7	3	0	1	1	2	0	0	0	0	0	0	2	0	3	1	1	0	2	1	0	5
ENSG00000270035	2	2	0	4	2	0	2	3	4	8	2	0	0	4	5	3	1	0	1	1	2	0	10	1	3	0	0	7	1	0
ENSG00000169962	48	39	95	122	116	49	111	105	28	67	34	61	51	119	107	33	14	192	17	20	50	33	24	21	42	67	20	20	11	8
ENSG00000226545	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285	492	359	527	443	364	350	795	289	463	443	839	489	496	402	393	579	513	374	355	464	549	464	313	421	458	539	324	626	1023	1975
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	247	222	262	330	302	250	243	314	225	305	181	233	264	256	265	169	129	378	71	179	211	227	238	139	258	376	191	76	82	75
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240409	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0
