PV1	PV2	PV3	TE1	TO1	TOE1	TV1	TE2	TO2	TOE2	TV2	TO3	TOE3	TV3	TE3
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	2	1	6	5	2	1	0	1	0	0	6	0	2	4	2
ENSG00000160072	49	27	353	460	342	189	100	289	72	238	395	205	487	449	165
ENSG00000041988	7	7	73	99	88	23	18	51	11	41	94	50	60	121	22
ENSG00000260179	1	0	1	2	3	3	2	3	1	2	4	1	3	11	2
ENSG00000234396	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	4	1	8	5	5	8	1	2	3	4	6	5	4	1	5
ENSG00000224315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198744	41	8	30	47	44	56	32	43	16	52	48	38	30	44	55
ENSG00000279928	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ENSG00000228037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	0	0	2	2	1	2	0	2	0	1	0	4	3	2	0
ENSG00000225630	9518	6828	8800	10866	11883	16780	12082	13291	6828	12185	11354	8312	9440	9263	8996
ENSG00000067606	209	117	952	383	481	216	122	254	104	206	480	214	305	498	167
ENSG00000131584	57	6	279	605	502	221	135	334	49	220	539	256	456	625	190
ENSG00000227589	6	0	12	0	0	2	0	1	0	1	0	0	0	0	3
ENSG00000237402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	5	1	61	74	63	9	6	28	1	18	62	18	59	90	10
ENSG00000157911	102	56	351	304	211	157	98	210	42	144	258	184	216	237	126
ENSG00000269896	29	4	80	63	48	32	21	51	4	33	43	24	40	52	16
ENSG00000237973	240	170	243	308	281	294	262	276	192	317	301	231	245	277	192
ENSG00000224051	15	11	137	134	145	54	35	81	21	48	141	64	122	142	35
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	15	3	26	40	36	27	34	41	27	25	45	32	36	50	27
ENSG00000238260	0	10	1	8	4	4	2	0	12	4	3	1	4	6	1
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	179	100	488	590	507	379	299	365	122	351	477	290	450	507	236
ENSG00000162591	19	5	90	97	122	49	45	71	32	58	103	62	69	121	38
ENSG00000224340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	5	3	2	6	0	1	0	1	2	2	0	0	0
ENSG00000169962	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285	260	135	400	858	1090	856	958	1018	426	725	900	950	640	1014	648
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	63	20	282	314	264	103	61	185	48	129	270	134	205	335	95
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSG00000240409	4	2	3	1	2	2	2	2	2	4	3	1	2	3	1
ENSG00000229344	14	9	16	23	24	19	23	20	15	25	27	25	27	15	10
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	0	0	1	3	5	0	1	2	0	0	1	2	8	2	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	262	140	731	2421	1977	2012	919	2272	595	1602	1795	1505	1753	1939	1374
ENSG00000171621	14	15	43	42	100	17	30	29	26	27	96	48	40	114	20
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	1	0	1	2	2	0	0	2	0	1	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	1112	691	2510	1827	1515	1536	1329	1872	503	1370	1441	1282	1303	1446	1192
ENSG00000230021	11	1	5	21	8	14	6	16	0	6	15	12	16	15	12
ENSG00000271264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287356	0	0	4	0	2	1	0	0	0	1	4	0	0	2	1
ENSG00000224387	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187017	33	1	275	545	521	105	65	192	64	135	572	205	405	624	97
ENSG00000285629	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	104	66	318	250	267	207	196	248	90	180	265	196	227	244	169
ENSG00000142583	1	0	0	5	4	1	2	1	2	1	3	3	5	4	1
ENSG00000223663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000107404	12	6	411	296	298	56	42	108	17	83	308	77	249	328	51
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177000	245	66	781	918	828	344	229	555	130	470	754	419	807	889	290
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	29	6	29	71	111	58	49	96	42	42	85	70	63	88	45
ENSG00000069424	14	1	64	315	358	127	100	178	107	118	347	171	255	433	113
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	4758	3622	20819	45132	45840	21580	13161	31985	10367	23861	42376	25471	29732	44113	17804
ENSG00000234546	42	0	68	56	66	30	23	29	21	33	72	32	53	60	29
ENSG00000116786	110	46	722	655	604	207	100	349	125	243	618	243	514	662	160
ENSG00000287727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176022	117	79	360	200	118	116	65	117	61	121	153	78	129	140	95
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228423	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000286448	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162496	149	143	640	136	186	124	125	121	54	106	183	113	137	176	86
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226457	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173614	227	123	555	351	441	373	343	450	56	342	445	365	267	412	282
ENSG00000248527	29354	15607	27592	30688	34321	51961	38104	32544	18555	47645	42684	28071	26930	30256	26825
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
